phi0,omega,M,Q,R_eff,C_eff
0,1,0,0,,0
0.0006,0.999795232,0.050355607,0.050418311,194.3781304,0.00025906
0.0009,0.999639275,0.061876032,0.061819179,162.8045432,0.000380063
0.0012,0.999466082,0.071265189,0.071294299,139.0176927,0.000512634
0.0015,0.99929279,0.079687427,0.079855727,123.8293098,0.000643526
0.0018,0.999118903,0.087166417,0.087202553,113.5277354,0.000767798
0.0021,0.998940732,0.094091936,0.094137361,105.0852621,0.000895387
0.0024,0.998760605,0.100525846,0.100581279,98.27738835,0.001022879
0.0027,0.998578904,0.106557345,0.106623412,92.63703918,0.001150267
0.003,0.998395898,0.112251349,0.112328637,87.86449629,0.001277551
0.0033,0.998211793,0.117656896,0.11774596,83.75755414,0.001404732
0.0036,0.998026749,0.122812109,0.122913472,80.17470694,0.001531806
0.0039,0.997840891,0.127747324,0.127861485,77.0128783,0.001658779
0.0042,0.997654322,0.132487152,0.132614587,74.19574817,0.001785644
0.0045,0.997467128,0.137051891,0.137193058,71.66455004,0.001912409
0.0048,0.997279379,0.141458516,0.141613851,69.37418255,0.002039066
0.0051,0.997091135,0.145721393,0.145891319,67.28852654,0.00216562
0.0054,0.996902448,0.149852813,0.150037735,65.37867173,0.002292075
0.0057,0.996713362,0.153863386,0.154063698,63.62139794,0.002418422
0.006,0.996523915,0.15776235,0.157978431,61.99738192,0.002544662
0.0063,0.996334142,0.161557805,0.161790023,60.49029208,0.002670806
0.0066,0.996144072,0.165256903,0.165505614,59.0869956,0.002796841
0.0069,0.995953731,0.168865996,0.169131547,57.77600086,0.002922771
0.0072,0.995763145,0.172390755,0.172673482,56.54752111,0.0030486
0.0075,0.995572333,0.17583627,0.176136501,55.39320228,0.003174329
0.0078,0.995381314,0.17920713,0.179525184,54.30595094,0.003299954
0.0081,0.995190108,0.182507489,0.182843676,53.27945621,0.003425476
0.0084,0.994998728,0.185741123,0.186095746,52.30842346,0.003550884
0.0087,0.99480719,0.188911474,0.189284828,51.38774741,0.003676197
0.009,0.994615506,0.192021694,0.192414068,50.51316974,0.003801418
0.0093,0.994423689,0.195074676,0.195486351,49.6812249,0.003926527
0.0096,0.994231751,0.198073081,0.198504333,48.88859065,0.00405152
0.0099,0.9940397,0.201019369,0.201470467,48.13191886,0.004176425
0.0102,0.993847547,0.203915812,0.20438702,47.40882052,0.004301221
0.0105,0.9936553,0.206764523,0.207256098,46.71665416,0.004425928
0.0108,0.993462968,0.209567461,0.210079656,46.0535764,0.004550514
0.0111,0.993270559,0.212326455,0.212859516,45.41732024,0.004675011
