phi0,omega,M,Q,R_eff,C_eff
0,0.755928946,0,0,,0
0.0006,0.755828336,0.059879719,0.079280735,245.7948521,0.000243617
0.0009,0.755749148,0.074541203,0.100008724,224.6314386,0.000331838
0.0012,0.75565473,0.086182215,0.114084865,199.2487051,0.000432536
0.0015,0.755553215,0.09639567,0.127621245,179.7834983,0.000536176
0.0018,0.755448303,0.105546478,0.139715507,163.9989132,0.00064358
0.0021,0.755343753,0.113927845,0.150712854,152.1517078,0.000748778
0.0024,0.755232047,0.121826561,0.161292569,142.01099,0.000857867
0.0027,0.755122995,0.129099271,0.170864809,134.0006716,0.000963423
0.003,0.755013383,0.135964895,0.179968357,127.1174098,0.001069601
0.0033,0.754901657,0.14252695,0.188664971,121.1807309,0.001176152
0.0036,0.754789104,0.148787101,0.196963112,116.0008762,0.001282638
0.0039,0.754675836,0.154781866,0.204910628,111.4302826,0.001389047
0.0042,0.754561939,0.160541004,0.212547018,107.3579364,0.001495381
0.0045,0.754447484,0.166089099,0.219904858,103.6992174,0.001601643
0.0048,0.754332528,0.171446701,0.227011331,100.3884736,0.001707833
0.0051,0.754217121,0.176631188,0.233889407,97.37374132,0.001813951
0.0054,0.754101308,0.181657362,0.240558607,94.61340461,0.001919996
0.0057,0.753985127,0.186538038,0.247035865,92.07351947,0.002025968
0.006,0.753868609,0.19128437,0.253335923,89.7261485,0.002131869
0.0063,0.753751783,0.195906141,0.259471705,87.5481916,0.002237695
0.0066,0.753634676,0.200411985,0.265454617,85.52009713,0.002343449
0.0069,0.753517308,0.20480957,0.27129479,83.625387,0.002449132
0.0072,0.7533997,0.209105742,0.277001268,81.850081,0.002554741
0.0075,0.75328187,0.213306644,0.282582166,80.18216076,0.002660276
0.0078,0.753163833,0.217417815,0.288044797,78.61106921,0.002765741
0.0081,0.753045606,0.221444266,0.293395783,77.12781164,0.002871134
0.0084,0.7529272,0.225390553,0.298641138,75.72460126,0.002976451
0.0087,0.752808628,0.22926083,0.303786349,74.39433338,0.003081698
0.009,0.752689902,0.233058897,0.308836434,73.13090548,0.003186873
0.0093,0.75257103,0.236788244,0.313795999,71.9288714,0.003291978
0.0096,0.752452023,0.240452081,0.318669285,70.78351859,0.003397007
0.0099,0.75233289,0.244053373,0.323460204,69.69047638,0.003501962
0.0102,0.752213638,0.247594862,0.328172376,68.64578123,0.003606848
0.0105,0.752094274,0.25107909,0.332809158,67.64600863,0.003711662
0.0108,0.751974806,0.254508424,0.337373672,66.68804888,0.003816402
0.0111,0.751855241,0.257885066,0.341868825,65.76899226,0.003921074
0.0114,0.751735583,0.26121107,0.346297329,64.88636147,0.00402567
0.0117,0.751615839,0.264488361,0.350661722,64.03767721,0.004130199
0.012,0.751496013,0.267718738,0.35496438,63.22095207,0.004234652
0.0123,0.751376112,0.270903893,0.359207533,62.43415682,0.004339033
0.0126,0.751256139,0.274045413,0.363393277,61.67548681,0.004443344
0.0129,0.751136099,0.277144794,0.367523585,60.94332439,0.004547583
0.0132,0.751015996,0.280203447,0.371600317,60.23613751,0.00465175
0.0135,0.750895834,0.283222701,0.375625228,59.55258414,0.004755842
0.0138,0.750775616,0.286203816,0.379599977,58.89131848,0.004859864
0.0141,0.750655346,0.28914798,0.383526135,58.25113104,0.004963817
0.0144,0.750535028,0.292056324,0.387405189,57.630911,0.005067703
0.0147,0.750414663,0.294929918,0.391238551,57.02979117,0.005171506
0.015,0.750294257,0.297769777,0.395027563,56.44665566,0.005275242
0.0153,0.75017381,0.30057687,0.398773497,55.88064733,0.005378908
0.0156,0.750053326,0.303352115,0.402477568,55.33092073,0.005482506
0.0159,0.749932808,0.30609639,0.406140931,54.79677048,0.00558603
0.0162,0.749812258,0.308810531,0.409764687,54.2774348,0.005689483
0.0165,0.749691677,0.311495334,0.413349888,53.77229585,0.005792859
0.0168,0.749571069,0.314151563,0.416897539,53.28063054,0.005896168
0.0171,0.749450436,0.316779947,0.4204086,52.80186774,0.005999408
0.0174,0.749329779,0.319381181,0.423883989,52.33540185,0.006102584
0.0177,0.749209101,0.321955935,0.427324587,51.88091698,0.006205672
0.018,0.749088403,0.324504848,0.430731237,51.43764147,0.006308704
0.0183,0.748967687,0.327028534,0.434104747,51.00536463,0.00641165
0.0186,0.748846955,0.329527581,0.437445893,50.58344706,0.006514534
0.0189,0.748726208,0.332002557,0.44075542,50.17154379,0.006617348
0.0192,0.748605449,0.334454003,0.444034045,49.76928685,0.006720088
0.0195,0.748484678,0.336882444,0.447282455,49.37628756,0.006822758
0.0198,0.748363897,0.339288382,0.450501314,48.99213885,0.006925364
0.0201,0.748243108,0.341672302,0.45369126,48.61659174,0.007027895
0.0204,0.748122312,0.344034669,0.456852905,48.24935634,0.007130347
0.0207,0.748001509,0.346375935,0.459986844,47.89000716,0.007232739
0.021,0.747880702,0.348696533,0.463093647,47.53830735,0.007335064
0.0213,0.747759892,0.350996881,0.466173866,47.19412601,0.0074373
0.0216,0.747639079,0.353277385,0.469228031,46.85703214,0.007539474
0.0219,0.747518266,0.355538433,0.472256657,46.52682091,0.00764158
0.0222,0.747397452,0.357780404,0.475260241,46.20327575,0.007743616
0.0225,0.74727664,0.360003662,0.478239263,45.88616934,0.007845581
0.0228,0.747155829,0.362208561,0.481194188,45.57526459,0.007947481
0.0231,0.747035022,0.364395442,0.484125463,45.27031575,0.008049324
0.0234,0.746914219,0.366564636,0.487033526,44.97142255,0.008151057
0.0237,0.74679342,0.368716462,0.489918797,44.67805254,0.008252743
0.024,0.746672628,0.370851232,0.492781684,44.39012522,0.008354363
0.0243,0.746551842,0.372969247,0.495622584,44.10757869,0.008455899
0.0246,0.746431064,0.375070798,0.49844188,43.83012579,0.008557374
0.0249,0.746310294,0.377156168,0.501239944,43.55759103,0.008658793
0.0252,0.746189534,0.379225632,0.504017138,43.29006289,0.008760108
0.0255,0.746068783,0.381279458,0.506773814,43.02714133,0.008861371
0.0258,0.745948043,0.383317903,0.50951031,42.76873464,0.008962573
0.0261,0.745827315,0.385341221,0.512226959,42.51474537,0.009063708
0.0264,0.745706599,0.387349656,0.514924082,42.26507061,0.00916477
0.0267,0.745585895,0.389343445,0.517601992,42.01960233,0.009265758
0.027,0.745465205,0.39132282,0.520260993,41.77822768,0.009366669
0.0273,0.74534453,0.393288006,0.522901382,41.54082938,0.009467505
0.0276,0.745223869,0.395239223,0.525523445,41.30728606,0.009568269
0.0279,0.745103223,0.397176683,0.528127463,41.07747261,0.009668966
0.0282,0.744982593,0.399100595,0.530713709,40.85126061,0.009769603
0.0285,0.74486198,0.40101116,0.533282449,40.62851866,0.009870189
0.0288,0.744741384,0.402908576,0.535833942,40.40934493,0.009970678
0.0291,0.744620806,0.404793035,0.538368439,40.19356296,0.010071091
0.0294,0.744500246,0.406664724,0.540886188,39.98089408,0.010171477
0.0297,0.744379705,0.408523826,0.543387428,39.77162326,0.010271741
0.03,0.744259183,0.410370519,0.545872393,39.56533303,0.010371972
0.0303,0.74413868,0.412204977,0.548341312,39.36215982,0.010472113
0.0306,0.744018198,0.414027369,0.550794406,39.16186779,0.010572207
0.0309,0.743897737,0.415837861,0.553231893,38.96458755,0.0106722
0.0312,0.743777297,0.417636614,0.555653986,38.76991889,0.010772182
0.0315,0.743656878,0.419423788,0.558060892,38.57828164,0.010872018
0.0318,0.743536482,0.421199535,0.560452813,38.38920295,0.010971823
0.0321,0.743416108,0.422964006,0.562829947,38.20263424,0.011071593
0.0324,0.743295757,0.424717349,0.565192487,38.0188413,0.011171233
0.0327,0.743175429,0.426459708,0.567540622,37.83751825,0.011270816
0.033,0.743055125,0.428191224,0.569874538,37.65858388,0.011370349
0.0333,0.742934845,0.429912033,0.572194413,37.48200574,0.011469825
0.0336,0.74281459,0.431622271,0.574500426,37.3077496,0.011569239
0.0339,0.742694359,0.43332207,0.576792749,37.13589482,0.011668551
0.0342,0.742574154,0.435011558,0.579071551,36.96629087,0.01176779
0.0345,0.742453974,0.436690862,0.581336997,36.79886056,0.011866967
0.0348,0.74233382,0.438360104,0.583589249,36.63356318,0.011966079
0.0351,0.742213693,0.440019406,0.585828467,36.47035655,0.012065125
0.0354,0.742093592,0.441668887,0.588054804,36.30919715,0.012164105
0.0357,0.741973518,0.443308662,0.590268414,36.15004018,0.01226302
0.036,0.741853472,0.444938845,0.592469445,35.99283962,0.012361871
0.0363,0.741733453,0.446559547,0.594658043,35.83754834,0.012460661
0.0366,0.741613461,0.448170877,0.596834351,35.68419084,0.012559368
0.0369,0.741493498,0.449772943,0.598998509,35.5327621,0.012657979
0.0372,0.741373564,0.451365848,0.601150655,35.38312744,0.012756528
0.0375,0.741253658,0.452949697,0.603290923,35.2352355,0.012855021
0.0378,0.741133782,0.454524589,0.605419445,35.08903421,0.012953465
0.0381,0.741013934,0.456090623,0.607536351,34.94447081,0.013051868
0.0384,0.740894117,0.457647897,0.609641768,34.80176795,0.013150134
0.0387,0.740774329,0.459196505,0.611735821,34.66069514,0.013248335
0.039,0.740654571,0.460736541,0.613818631,34.52112797,0.013346509
0.0393,0.740534844,0.462268097,0.61589032,34.3830741,0.013444641
0.0396,0.740415147,0.463791262,0.617951003,34.24681596,0.01354261
0.0399,0.740295481,0.465306125,0.620000798,34.11192448,0.013640571
0.0402,0.740175847,0.466812772,0.622039818,33.97843764,0.0137385
0.0405,0.740056244,0.468311288,0.624068174,33.84665869,0.013836264
0.0408,0.739936672,0.469801758,0.626085975,33.71610225,0.013934047
0.0411,0.739817132,0.471284263,0.62809333,33.58707637,0.014031714
0.0414,0.739697624,0.472758884,0.630090343,33.45942344,0.01412932
0.0417,0.739578149,0.474225701,0.632077119,33.33302833,0.014226901
0.042,0.739458706,0.47568479,0.634053759,33.20815212,0.014324338
