phi0,omega,M,Q,R_eff,C_eff
0,1.044465936,0,0,,0
0.001,1.0439915,0.063363404,0.060606331,143.5954787,0.000441263
0.002,1.043352708,0.088645968,0.084912224,100.5749337,0.000881392
0.003,1.04269827,0.107501975,0.102997566,82.02088174,0.001310666
0.004,1.042037358,0.122919652,0.117795546,70.94787879,0.001732535
0.005,1.041375017,0.136092835,0.130448056,63.38329366,0.002147141
0.006,1.040713792,0.147641339,0.141547741,57.79352314,0.002554635
0.007,1.040055155,0.157937899,0.151450874,53.44473221,0.002955163
0.008,1.039400028,0.167228371,0.160392376,49.93592387,0.003348859
0.009,1.038749015,0.175685628,0.168537383,47.02664431,0.003735874
0.01,1.038102528,0.183437083,0.176007566,44.56346839,0.004116311
0.011,1.037460848,0.190580091,0.182895868,42.44227024,0.004490337
0.012,1.03682417,0.197191195,0.189275347,40.59057863,0.004858053
0.013,1.036192625,0.203331986,0.195204775,38.95555003,0.00521959
0.014,1.0351658,0.209052981,0.200732347,37.49840012,0.005574984
0.015,1.034945244,0.214396286,0.20589823,36.1876875,0.005924564
0.016,1.034329486,0.219397482,0.210736358,35.00134798,0.006268258
0.017,1.033719033,0.224086992,0.215275745,33.92028537,0.006606283
0.018,1.033113874,0.228491094,0.219541449,32.93012609,0.006938664
0.019,1.032513987,0.232632696,0.223555314,32.01858943,0.007265551
0.02,1.031919342,0.23653192,0.227336528,31.17570956,0.007587058
0.021,1.0313299,0.240206572,0.230902068,30.39331691,0.007903269
0.022,1.030745614,0.243672505,0.23426705,29.664293,0.008214337
0.023,1.030166436,0.246943913,0.237445012,28.98318869,0.008520247
0.024,1.02959231,0.25003357,0.240448134,28.34456593,0.008821217
0.025,1.029023179,0.252953027,0.243287435,27.74430537,0.009117295
0.026,1.028458984,0.255712769,0.245972917,27.17855176,0.009408624
0.027,1.027899662,0.258322355,0.2485137,26.6446006,0.009695111
0.028,1.027345149,0.260790528,0.250918125,26.13934769,0.009976933
0.029,1.026795381,0.263125309,0.253193849,25.6597529,0.010254398
0.03,1.026250292,0.265334081,0.255347921,25.20430872,0.01052733
0.031,1.025709816,0.267423659,0.257386845,24.77088974,0.010795884
0.032,1.025173887,0.269400346,0.259316645,24.35799933,0.011060036
0.033,1.024642437,0.271269989,0.261142906,23.96384083,0.011319971
0.034,1.0241154,0.273038024,0.26287082,23.58660878,0.011575976
0.035,1.023592708,0.274709511,0.264505228,23.22586743,0.01182774
0.036,1.023074296,0.276289175,0.266050645,22.88028216,0.012075427
0.037,1.022560097,0.277781432,0.267511296,22.54832113,0.012319384
0.038,1.022050044,0.279190415,0.268891137,22.2293639,0.012559532
