phi0,omega,M,Q,R_eff,C_eff
0,0.866025404,0,0,,0
0.0004,0.865937933,0.025638732,0.034747415,350.9489551,7.31E-05
0.001,0.865594413,0.070414238,0.081378658,185.7363458,0.000379109
0.0014,0.86540142,0.082964869,0.095830479,157.054746,0.000528255
0.0016,0.865304272,0.088511642,0.102237546,146.9312298,0.000602402
0.0018,0.865206875,0.093675566,0.108206514,138.4955132,0.00067638
0.002,0.865109302,0.098527125,0.113815124,131.3574955,0.000750069
0.0022,0.865011618,0.103110748,0.119114627,125.2148658,0.000823471
0.0024,0.864913871,0.107461039,0.124144962,119.8562541,0.000896583
0.0026,0.864816101,0.111605588,0.12893797,115.1273617,0.00096941
0.0028,0.864718338,0.115566822,0.133519528,110.9136675,0.001041953
0.003,0.864620609,0.119363267,0.137911019,107.1273342,0.001114219
0.0032,0.864522933,0.123010449,0.142130353,103.702047,0.001186191
0.0034,0.86442533,0.126521532,0.146192721,100.5819374,0.001257895
0.0036,0.864327815,0.1299078,0.150111142,97.72596378,0.001329307
0.0038,0.8642304,0.133179013,0.153896874,95.09716122,0.001400452
0.004,0.864133097,0.136343683,0.157559738,92.66807989,0.001471312
0.0042,0.864035915,0.139409293,0.161108365,90.41392777,0.001541901
0.0044,0.863938863,0.142382457,0.164550385,88.31490924,0.001612213
0.0046,0.863841949,0.145269064,0.167892589,86.35401848,0.00168225
0.0048,0.863745178,0.148074383,0.171141055,84.51665062,0.001752014
0.005,0.863648557,0.150803149,0.174301245,82.78977231,0.001821519
0.0052,0.863552091,0.153459643,0.177378093,81.16396595,0.001890736
0.0054,0.863455784,0.156047746,0.180376076,79.62850815,0.001959697
0.0056,0.86335964,0.158570992,0.183299268,78.17608059,0.002028383
0.0058,0.863263663,0.161032611,0.186151396,76.79842905,0.002096822
0.006,0.863167856,0.163435565,0.188935872,75.49112793,0.002164964
0.0062,0.863072223,0.165782579,0.191655838,74.24671937,0.002232861
0.0064,0.862976764,0.168076164,0.19431419,73.06100937,0.002300491
0.0066,0.862881484,0.170318645,0.196913609,71.92928787,0.002367862
0.0068,0.862786384,0.172512178,0.199456577,70.84679851,0.002435003
0.007,0.862691465,0.174658765,0.201945403,69.81270283,0.002501819
0.0072,0.86259673,0.176760271,0.204382239,68.82069083,0.002568418
0.0074,0.86250218,0.17881844,0.206769091,67.8686617,0.002634772
0.0076,0.862407816,0.180834899,0.209107838,66.95459116,0.002700859
0.0078,0.86231364,0.182811176,0.211400238,66.07621125,0.002766672
