zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.2,-20,0.41053,0.56654,0.714,0.01632,39.11776,-0.001698092
-0.2,-17.5,0.43608,0.56504,0.75885,0.0187,36.68668,-0.002042252
-0.2,-15,0.46706,0.56296,0.81334,0.0219,33.91584,-0.003179261
-0.2,-13.75,0.48522,0.56167,0.84533,0.02396,32.48181,-0.002836862
-0.2,-12.5,0.50565,0.56021,0.88139,0.02644,31.06003,-0.004090976
-0.2,-11.25,0.52886,0.55842,0.92242,0.02951,29.53754,-0.003699435
-0.2,-10,0.55553,0.55616,0.96966,0.0334,27.86844,-0.004307689
-0.2,-9.375,0.57043,0.55491,0.99611,0.03576,27.06077,-0.004677056
-0.2,-8.75,0.58658,0.55355,1.02481,0.03848,26.15663,-0.005098556
-0.2,-8.125,0.60413,0.55184,1.05606,0.04167,25.21786,-0.005590752
-0.2,-7.5,0.62329,0.54992,1.09024,0.04545,24.36894,-0.006160357
-0.2,-6.875,0.64433,0.54774,1.12784,0.05001,23.40611,-0.006837181
-0.2,-6.25,0.66752,0.54533,1.16941,0.05563,22.45785,-0.007639178
-0.2,-5.625,0.69324,0.5423,1.21562,0.06279,21.38438,-0.008602761
-0.2,-5,0.72191,0.53882,1.2673,0.07233,20.30908,-0.009775996
-0.2,-4.375,0.75402,0.535,1.32543,0.08659,19.30844,-0.011217367
-0.2,-3.75,0.79015,0.52997,1.39109,0.09381,18.1326,-0.013004639
-0.2,-3.125,0.83082,0.52435,1.4654,0.09559,17.03695,-0.015239084
-0.2,-2.5,0.87641,0.51807,1.5492,0.09837,16.01419,-0.018021037
-0.2,-1.875,0.92686,0.51125,1.64248,0.10155,15.08468,-0.02142627
-0.2,-1.25,0.98135,0.50486,1.7438,0.10482,14.36238,-0.025433399
-0.2,-0.625,1.0384,0.49927,1.85036,0.108,13.86935,-0.029910071
-0.2,0,1.096389615,0.494797675,1.959008988,0.11098768,13.61733632,-0.034644752
-0.2,5,1.52046,0.48577,2.75525,0.12841,14.55961,-0.070284329
-0.2,10,1.86419,0.48448,3.39898,0.13878,16.1431,-0.098220471
-0.2,15,2.15627,0.4835,3.94477,0.14578,17.64084,-0.121248248
-0.2,20,2.41409,0.48281,4.42584,0.15093,18.99577,-0.141174142
-0.19,-20,0.38668,0.61002,0.62415,0.01688,35.64304,-0.00164804
-0.19,-17.5,0.41066,0.60835,0.66323,0.01934,33.46481,-0.00198271
-0.19,-15,0.43971,0.60611,0.71066,0.02265,31.03325,-0.002449611
-0.19,-13.75,0.45673,0.60469,0.7385,0.02478,29.73304,-0.002750853
-0.19,-12.5,0.47587,0.60294,0.76986,0.02736,28.30189,-0.003122362
-0.19,-11.25,0.49758,0.60111,0.80551,0.03054,27.05808,-0.003584976
-0.19,-10,0.52251,0.59863,0.84652,0.03457,25.53841,-0.004170209
-0.19,-9.375,0.53644,0.59702,0.86947,0.03703,24.64358,-0.004522812
-0.19,-8.75,0.5515,0.5957,0.89433,0.03986,23.9486,-0.004928875
-0.19,-8.125,0.56787,0.59381,0.9214,0.04317,23.09449,-0.00539971
-0.19,-7.5,0.58573,0.59153,0.95098,0.04711,22.2271,-0.005945972
-0.19,-6.875,0.6053,0.58933,0.98348,0.05186,21.44417,-0.006594087
-0.19,-6.25,0.62686,0.58649,1.01936,0.05774,20.50258,-0.007356248
-0.19,-5.625,0.65072,0.58336,1.05919,0.06526,19.59911,-0.008277319
-0.19,-5,0.67727,0.57953,1.10364,0.07538,18.61633,-0.009386599
