phi0,omega,M,Q,R_eff,C_eff
0,1.08012345,0,0,,0
0.001,1.07959,0.06287,0.05819,134.74146,0.00047
0.002,1.07889,0.08851,0.08198,95.21527,0.00093
0.003,1.07817,0.10788,0.09995,77.67081,0.00139
0.004,1.07744,0.12397,0.11489,67.2029,0.00184
0.005,1.0767,0.13794,0.12787,60.0529,0.0023
0.006,1.07596,0.15039,0.13944,54.77047,0.00275
0.007,1.07522,0.16167,0.14993,50.66147,0.00319
0.008,1.07448,0.17202,0.15957,47.3466,0.00363
0.009,1.07373,0.18159,0.16849,44.59852,0.00407
0.01,1.07299,0.19052,0.17681,42.27183,0.00451
0.011,1.07225,0.19888,0.18462,40.26875,0.00494
0.012,1.07152,0.20676,0.19197,38.51996,0.00537
0.013,1.07078,0.21421,0.19893,36.97621,0.00579
0.014,1.07005,0.22126,0.20553,35.59964,0.00622
0.015,1.06932,0.22797,0.21181,34.36253,0.00663
0.016,1.06859,0.23437,0.21779,33.2425,0.00705
0.017,1.06786,0.24048,0.22352,32.22195,0.00746
0.018,1.06714,0.24632,0.229,31.28704,0.00787
0.019,1.06641,0.25192,0.23425,30.42644,0.00828
0.02,1.0657,0.25729,0.2393,29.6305,0.00868
0.021,1.06498,0.26246,0.24415,28.89183,0.00908
0.022,1.06426,0.26742,0.24882,28.20356,0.00948
0.023,1.06355,0.27221,0.25332,27.56014,0.00988
0.024,1.06284,0.27682,0.25766,26.95744,0.01027
0.025,1.06214,0.28127,0.26186,26.39066,0.01066
0.026,1.06144,0.28556,0.26591,25.85671,0.01104
0.027,1.06073,0.28972,0.26982,25.35219,0.01143
0.028,1.06004,0.29373,0.27361,24.87492,0.01181
0.029,1.05934,0.29761,0.27728,24.42196,0.01219
0.03,1.05865,0.30137,0.28084,23.99198,0.01256
0.031,1.05796,0.30502,0.28429,23.58252,0.01293
0.032,1.05727,0.30855,0.28763,23.19238,0.0133
0.033,1.05659,0.31197,0.29087,22.82002,0.01367
0.034,1.05591,0.31529,0.29402,22.4637,0.01404
0.035,1.05523,0.31852,0.29708,22.12262,0.0144
0.036,1.05455,0.32164,0.30005,21.79598,0.01476
0.037,1.05388,0.32468,0.30293,21.48238,0.01511
0.038,1.05321,0.32763,0.30574,21.18094,0.01547
0.039,1.05254,0.3305,0.30847,20.89121,0.01582
0.04,1.05187,0.33329,0.31112,20.61254,0.01617
0.041,1.05121,0.336,0.3137,20.34348,0.01652
0.042,1.05055,0.33864,0.31622,20.08448,0.01686
0.043,1.04989,0.34121,0.31866,19.83377,0.0172
0.044,1.04924,0.3437,0.32105,19.59242,0.01754
0.045,1.04858,0.34613,0.32337,19.35872,0.01788
0.046,1.04793,0.3485,0.32563,19.13243,0.01822
0.047,1.04728,0.3508,0.32783,18.91331,0.01855
0.048,1.04664,0.35305,0.32998,18.70105,0.01888
0.049,1.046,0.35523,0.33207,18.49533,0.01921
0.05,1.04536,0.35736,0.33411,18.29582,0.01953
0.051,1.04472,0.35944,0.33609,18.10213,0.01986
0.052,1.04408,0.36146,0.33803,17.9139,0.02018
0.053,1.04345,0.36343,0.33992,17.73071,0.0205
0.054,1.04282,0.36535,0.34177,17.55278,0.02081
0.055,1.04219,0.36722,0.34356,17.37999,0.02113
0.056,1.04157,0.36905,0.34532,17.2112,0.02144
0.057,1.04094,0.37082,0.34703,17.04734,0.02175
0.058,1.04032,0.37256,0.3487,16.88741,0.02206
0.059,1.0397,0.37425,0.35033,16.73163,0.02237
0.06,1.03909,0.3759,0.35192,16.57956,0.02267
0.061,1.03847,0.37751,0.35347,16.43152,0.02297
0.062,1.03786,0.37908,0.35499,16.28628,0.02328
0.063,1.03725,0.38061,0.35647,16.14554,0.02357
0.064,1.03665,0.38211,0.35791,16.00756,0.02387
0.065,1.03604,0.38357,0.35932,15.87229,0.02417
0.066,1.03544,0.38499,0.36069,15.74084,0.02446
0.067,1.03484,0.38638,0.36204,15.61219,0.02475
0.068,1.03424,0.38773,0.36335,15.48611,0.02504
0.069,1.03364,0.38905,0.36463,15.36258,0.02532
0.07,1.03305,0.39034,0.36587,15.24157,0.02561
0.071,1.03246,0.3916,0.36709,15.12371,0.02589
0.072,1.03187,0.39282,0.36828,15.00819,0.02617
0.073,1.03128,0.39402,0.36945,14.89496,0.02645
0.074,1.03069,0.39519,0.37058,14.78396,0.02673
0.075,1.03011,0.39633,0.37169,14.67513,0.02701
0.076,1.02953,0.39744,0.37277,14.56843,0.02728
0.077,1.02895,0.39852,0.37383,14.46379,0.02755
0.078,1.02837,0.39958,0.37486,14.36114,0.02782
0.079,1.0278,0.40062,0.37586,14.26042,0.02809
0.08,1.02723,0.40162,0.37685,14.16156,0.02836
0.081,1.02665,0.40261,0.37781,14.06448,0.02863
0.082,1.02608,0.40357,0.37874,13.9691,0.02889
0.083,1.02552,0.4045,0.37965,13.87536,0.02915
0.084,1.02495,0.40541,0.38055,13.78335,0.02941
0.085,1.02439,0.4063,0.38142,13.6934,0.02967
0.086,1.02383,0.40717,0.38226,13.60493,0.02993
0.087,1.02327,0.40802,0.38309,13.51785,0.03018
0.088,1.02271,0.40884,0.3839,13.43208,0.03044
0.089,1.02215,0.40965,0.38469,13.34754,0.03069
0.09,1.0216,0.41043,0.38546,13.26449,0.03094
0.091,1.02105,0.4112,0.38621,13.18341,0.03119
0.092,1.0205,0.41194,0.38694,13.10338,0.03144
0.093,1.01995,0.41267,0.38765,13.0243,0.03168
0.094,1.0194,0.41338,0.38835,12.94616,0.03193
0.095,1.01886,0.41407,0.38903,12.87031,0.03217
0.096,1.01832,0.41474,0.38969,12.79522,0.03241
0.097,1.01777,0.41539,0.39033,12.7208,0.03265
0.098,1.01724,0.41603,0.39096,12.64787,0.03289
0.099,1.0167,0.41665,0.39157,12.5764,0.03313
0.1,1.01616,0.41726,0.39217,12.5054,0.03337
0.101,1.01563,0.41785,0.39275,12.4355,0.0336
0.102,1.01509,0.41842,0.39332,12.36725,0.03383
0.103,1.01456,0.41898,0.39387,12.29926,0.03407
0.104,1.01403,0.41952,0.3944,12.23252,0.0343
0.105,1.01351,0.42005,0.39493,12.16709,0.03452
0.106,1.01298,0.42056,0.39543,12.10169,0.03475
0.107,1.01246,0.42106,0.39593,12.03822,0.03498
0.108,1.01193,0.42155,0.39641,11.97515,0.0352
0.109,1.01141,0.42202,0.39688,11.91263,0.03543
0.11,1.01089,0.42248,0.39733,11.85178,0.03565
0.111,1.01038,0.42293,0.39777,11.79065,0.03587
0.112,1.00986,0.42336,0.3982,11.73154,0.03609
0.113,1.00935,0.42378,0.39862,11.67239,0.03631
0.114,1.00883,0.42419,0.39902,11.61437,0.03652
0.115,1.00832,0.42458,0.39942,11.55707,0.03674
0.116,1.00781,0.42497,0.3998,11.5002,0.03695
0.117,1.0073,0.42534,0.40017,11.44463,0.03716
0.118,1.0068,0.4257,0.40053,11.38895,0.03738
0.119,1.00629,0.42605,0.40087,11.33498,0.03759
0.12,1.00579,0.42639,0.40121,11.28053,0.0378
0.121,1.00528,0.42671,0.40154,11.22804,0.038
0.122,1.00478,0.42703,0.40185,11.17486,0.03821
0.123,1.00428,0.42734,0.40216,11.1237,0.03842
0.124,1.00379,0.42763,0.40245,11.07182,0.03862
0.125,1.00329,0.42792,0.40274,11.02187,0.03882
0.126,1.00279,0.4282,0.40302,10.97132,0.03903
0.127,1.0023,0.42846,0.40328,10.92242,0.03923
0.128,1.00181,0.42872,0.40354,10.87323,0.03943
0.129,1.00132,0.42897,0.40379,10.82526,0.03963
0.13,1.00083,0.42921,0.40403,10.77744,0.03982
0.131,1.00034,0.42944,0.40426,10.73025,0.04002
0.132,0.99985,0.42966,0.40448,10.68382,0.04022
0.133,0.99937,0.42987,0.40469,10.63728,0.04041
0.134,0.99888,0.43008,0.4049,10.59225,0.0406
0.135,0.9984,0.43027,0.40509,10.54639,0.0408
0.136,0.99792,0.43046,0.40528,10.50259,0.04099
0.137,0.99744,0.43064,0.40546,10.45818,0.04118
0.138,0.99696,0.43081,0.40563,10.41471,0.04137
0.139,0.99648,0.43097,0.4058,10.37175,0.04155
0.14,0.996,0.43113,0.40595,10.32849,0.04174
0.141,0.99553,0.43128,0.4061,10.28697,0.04192
0.142,0.99505,0.43142,0.40625,10.24474,0.04211
0.143,0.99458,0.43155,0.40638,10.2037,0.04229
0.144,0.99411,0.43168,0.40651,10.16295,0.04248
0.145,0.99364,0.4318,0.40663,10.12181,0.04266
0.146,0.99317,0.43191,0.40674,10.08252,0.04284
0.147,0.9927,0.43202,0.40685,10.04257,0.04302
0.148,0.99224,0.43212,0.40695,10.00331,0.0432
0.149,0.99177,0.43221,0.40704,9.96486,0.04337
0.15,0.99131,0.4323,0.40713,9.92577,0.04355
0.151,0.99085,0.43238,0.40721,9.88821,0.04373
0.152,0.99038,0.43245,0.40729,9.85064,0.0439
0.153,0.98992,0.43252,0.40736,9.81249,0.04408
0.154,0.98946,0.43258,0.40742,9.7764,0.04425
0.155,0.98901,0.43264,0.40748,9.73975,0.04442
0.156,0.98855,0.43269,0.40753,9.70293,0.04459
0.157,0.98809,0.43273,0.40757,9.66778,0.04476
0.158,0.98764,0.43277,0.40761,9.63208,0.04493
0.159,0.98719,0.43281,0.40765,9.59641,0.0451
0.16,0.98673,0.43284,0.40768,9.56222,0.04527
0.161,0.98628,0.43286,0.4077,9.5275,0.04543
0.162,0.98583,0.43288,0.40772,9.49279,0.0456
0.163,0.98538,0.43289,0.40773,9.45958,0.04576
0.164,0.98493,0.4329,0.40774,9.42588,0.04593
0.165,0.98449,0.4329,0.40774,9.39193,0.04609
0.166,0.98404,0.4329,0.40774,9.35973,0.04625
0.167,0.9836,0.43289,0.40774,9.32706,0.04641
0.168,0.98315,0.43288,0.40772,9.2939,0.04658
0.169,0.98271,0.43286,0.40771,9.26252,0.04673
0.17,0.98227,0.43284,0.40769,9.23089,0.04689
0.171,0.98183,0.43282,0.40766,9.19881,0.04705
0.172,0.98139,0.43279,0.40763,9.16777,0.04721
0.173,0.98095,0.43276,0.4076,9.13721,0.04736
0.174,0.98051,0.43272,0.40756,9.10622,0.04752
0.175,0.98007,0.43268,0.40752,9.07534,0.04768
0.176,0.97964,0.43263,0.40747,9.04585,0.04783
0.177,0.9792,0.43258,0.40742,9.01596,0.04798
0.178,0.97877,0.43253,0.40736,8.98565,0.04814
0.179,0.97834,0.43247,0.4073,8.95664,0.04828
0.18,0.9779,0.43241,0.40724,8.92785,0.04843
0.181,0.97747,0.43234,0.40717,8.89866,0.04859
0.182,0.97704,0.43227,0.4071,8.86941,0.04874
0.183,0.97661,0.4322,0.40703,8.84171,0.04888
0.184,0.97619,0.43213,0.40695,8.81364,0.04903
0.185,0.97576,0.43205,0.40687,8.78521,0.04918
0.186,0.97533,0.43196,0.40678,8.75736,0.04933
0.187,0.97491,0.43188,0.40669,8.73042,0.04947
0.188,0.97448,0.43179,0.4066,8.70312,0.04961
0.189,0.97406,0.43169,0.40651,8.67547,0.04976
0.19,0.97364,0.4316,0.40641,8.64879,0.0499
0.191,0.97321,0.4315,0.4063,8.62263,0.05004
0.192,0.97279,0.43139,0.4062,8.59614,0.05018
0.193,0.97237,0.43129,0.40609,8.5693,0.05033
0.194,0.97195,0.43118,0.40598,8.54355,0.05047
0.195,0.97154,0.43107,0.40586,8.51819,0.05061
0.196,0.97112,0.43095,0.40575,8.49253,0.05075
0.197,0.9707,0.43084,0.40562,8.46654,0.05089
0.198,0.97029,0.43072,0.4055,8.44146,0.05102
0.199,0.96987,0.43059,0.40537,8.41694,0.05116
0.2,0.96946,0.43047,0.40524,8.39212,0.05129
0.201,0.96904,0.43034,0.40511,8.367,0.05143
0.202,0.96863,0.43021,0.40498,8.34236,0.05157
0.203,0.96822,0.43008,0.40484,8.31869,0.0517
0.204,0.96781,0.42994,0.4047,8.29474,0.05183
0.205,0.9674,0.4298,0.40456,8.2705,0.05197
0.206,0.96699,0.42966,0.40441,8.24606,0.05211
0.207,0.96658,0.42952,0.40426,8.22325,0.05223
0.208,0.96617,0.42937,0.40411,8.20017,0.05236
0.209,0.96577,0.42923,0.40396,8.17683,0.05249
0.21,0.96536,0.42908,0.4038,8.15322,0.05263
0.211,0.96496,0.42892,0.40364,8.13042,0.05276
0.212,0.96455,0.42877,0.40348,8.10823,0.05288
0.213,0.96415,0.42861,0.40332,8.08579,0.05301
0.214,0.96374,0.42845,0.40316,8.0631,0.05314
0.215,0.96334,0.42829,0.40299,8.04015,0.05327
0.216,0.96294,0.42813,0.40282,8.0187,0.05339
0.217,0.96254,0.42797,0.40265,7.99717,0.05351
0.218,0.96214,0.4278,0.40247,7.97541,0.05364
0.219,0.96174,0.42763,0.4023,7.9534,0.05377
0.22,0.96134,0.42746,0.40212,7.93137,0.05389
0.221,0.96094,0.42729,0.40194,7.91075,0.05401
0.222,0.96055,0.42711,0.40176,7.88991,0.05413
0.223,0.96015,0.42694,0.40158,7.86884,0.05426
0.224,0.95975,0.42676,0.40139,7.84754,0.05438
0.225,0.95936,0.42658,0.4012,7.82631,0.05451
0.226,0.95897,0.4264,0.40101,7.80638,0.05462
0.227,0.95857,0.42621,0.40082,7.78624,0.05474
0.228,0.95818,0.42603,0.40063,7.7659,0.05486
0.229,0.95779,0.42584,0.40043,7.74534,0.05498
0.23,0.9574,0.42566,0.40024,7.72461,0.0551
0.231,0.957,0.42547,0.40004,7.7054,0.05522
0.232,0.95661,0.42528,0.39984,7.68599,0.05533
0.233,0.95622,0.42508,0.39964,7.66639,0.05545
0.234,0.95584,0.42489,0.39943,7.64658,0.05557
0.235,0.95545,0.42469,0.39923,7.62657,0.05569
0.236,0.95506,0.4245,0.39902,7.60759,0.0558
0.237,0.95467,0.4243,0.39881,7.58892,0.05591
0.238,0.95429,0.4241,0.39861,7.57008,0.05602
0.239,0.9539,0.4239,0.39839,7.55104,0.05614
0.24,0.95352,0.4237,0.39818,7.53181,0.05625
0.241,0.95313,0.42349,0.39797,7.51273,0.05637
0.242,0.95275,0.42329,0.39775,7.49482,0.05648
0.243,0.95236,0.42308,0.39754,7.47674,0.05659
0.244,0.95198,0.42287,0.39732,7.45848,0.0567
0.245,0.9516,0.42267,0.3971,7.44004,0.05681
0.246,0.95122,0.42246,0.39688,7.42143,0.05692
0.247,0.95084,0.42225,0.39666,7.40344,0.05703
0.248,0.95046,0.42203,0.39643,7.38613,0.05714
0.249,0.95008,0.42182,0.39621,7.36865,0.05725
0.25,0.9497,0.42161,0.39598,7.35101,0.05735
0.251,0.94932,0.42139,0.39576,7.3332,0.05746
0.252,0.94894,0.42118,0.39553,7.31523,0.05758
0.253,0.94856,0.42096,0.3953,7.298,0.05768
0.254,0.94819,0.42074,0.39507,7.28131,0.05778
0.255,0.94781,0.42052,0.39484,7.26447,0.05789
0.256,0.94744,0.4203,0.3946,7.24747,0.05799
0.257,0.94706,0.42008,0.39437,7.23031,0.0581
0.258,0.94669,0.41986,0.39413,7.21299,0.05821
0.259,0.94631,0.41963,0.3939,7.1962,0.05831
0.26,0.94594,0.41941,0.39366,7.18014,0.05841
0.261,0.94557,0.41919,0.39342,7.16395,0.05851
0.262,0.94519,0.41896,0.39319,7.14761,0.05862
0.263,0.94482,0.41873,0.39295,7.13112,0.05872
0.264,0.94445,0.41851,0.3927,7.11448,0.05882
0.265,0.94408,0.41828,0.39246,7.09779,0.05893
0.266,0.94371,0.41805,0.39222,7.08239,0.05903
0.267,0.94334,0.41782,0.39198,7.06685,0.05912
