phi0,omega,M,Q,R_eff,C_eff
0,0.577350269,0,0,,0
0.001,0.57729,0.09435,0.16364,215.40641,0.00044
0.002,0.5771,0.13842,0.23986,197.73454,0.0007
0.003,0.57687,0.16938,0.29353,170.94664,0.00099
0.004,0.57664,0.19469,0.33744,149.31069,0.0013
0.005,0.57639,0.21657,0.37543,133.65942,0.00162
0.006,0.57614,0.23602,0.40923,121.96059,0.00194
0.007,0.57589,0.25363,0.43982,112.837,0.00225
0.008,0.57564,0.26975,0.46786,105.4727,0.00256
0.009,0.57538,0.28466,0.4938,99.36738,0.00286
0.01,0.57513,0.29853,0.51795,94.19887,0.00317
0.011,0.57487,0.31152,0.54056,89.74928,0.00347
0.012,0.57461,0.32373,0.56184,85.86562,0.00377
0.013,0.57435,0.33525,0.58193,82.43721,0.00407
0.014,0.5741,0.34617,0.60096,79.38105,0.00436
0.015,0.57384,0.35652,0.61904,76.63426,0.00465
0.016,0.57358,0.36638,0.63625,74.14783,0.00494
0.017,0.57332,0.37579,0.65267,71.88298,0.00523
0.018,0.57307,0.38477,0.66837,69.80828,0.00551
0.019,0.57281,0.39336,0.6834,67.89858,0.00579
0.02,0.57256,0.4016,0.6978,66.13298,0.00607
0.021,0.5723,0.4095,0.71163,64.49417,0.00635
0.022,0.57205,0.41709,0.72492,62.9677,0.00662
0.023,0.57179,0.42438,0.7377,61.54111,0.0069
0.024,0.57154,0.43141,0.75001,60.20405,0.00717
0.025,0.57129,0.43817,0.76187,58.94738,0.00743
0.026,0.57104,0.44469,0.77332,57.76324,0.0077
0.027,0.57079,0.45099,0.78436,56.64519,0.00796
0.028,0.57054,0.45706,0.79503,55.58677,0.00822
0.029,0.57029,0.46293,0.80533,54.58361,0.00848
0.03,0.57004,0.4686,0.8153,53.63033,0.00874
0.031,0.5698,0.47408,0.82494,52.72322,0.00899
0.032,0.56955,0.47939,0.83427,51.85849,0.00924
0.033,0.56931,0.48452,0.84331,51.03313,0.00949
0.034,0.56906,0.48949,0.85207,50.24424,0.00974
0.035,0.56882,0.49431,0.86055,49.4891,0.00999
0.036,0.56858,0.49898,0.86878,48.76533,0.01023
0.037,0.56834,0.5035,0.87675,48.07078,0.01047
0.038,0.5681,0.50789,0.88449,47.40361,0.01071
0.039,0.56786,0.51214,0.892,46.76181,0.01095
0.04,0.56762,0.51627,0.89928,46.14439,0.01119
0.041,0.56738,0.52027,0.90636,45.54904,0.01142
0.042,0.56714,0.52416,0.91323,44.97521,0.01165
