phi0,omega,M,Q,R_eff,C_eff
0,1.150792911,0,0,,0
0.001,1.15012,0.06214,0.05401,120.02401,0.00052
0.002,1.14929,0.08736,0.07596,84.78073,0.00103
0.003,1.14842,0.10637,0.09251,69.14988,0.00154
0.004,1.14755,0.12211,0.10623,59.8226,0.00204
0.005,1.14667,0.13574,0.11811,53.45113,0.00254
0.006,1.1458,0.14784,0.12867,48.74329,0.00303
0.007,1.14492,0.15877,0.13822,45.08091,0.00352
0.008,1.14404,0.16876,0.14696,42.12602,0.00401
0.009,1.14317,0.17798,0.15503,39.67615,0.00449
0.01,1.14229,0.18655,0.16253,37.60202,0.00496
0.011,1.14142,0.19455,0.16954,35.81576,0.00543
0.012,1.14056,0.20206,0.17613,34.25672,0.0059
0.013,1.13969,0.20913,0.18234,32.87998,0.00636
0.014,1.13884,0.21582,0.18822,31.65253,0.00682
0.015,1.13798,0.22215,0.19379,30.54892,0.00727
0.016,1.13713,0.22817,0.19908,29.55001,0.00772
0.017,1.13628,0.2339,0.20413,28.63971,0.00817
0.018,1.13544,0.23936,0.20894,27.80591,0.00861
0.019,1.13459,0.24458,0.21354,27.03819,0.00905
0.02,1.13376,0.24957,0.21794,26.32814,0.00948
0.021,1.13269,0.25435,0.22216,25.66927,0.00991
0.022,1.1321,0.25893,0.22621,25.05515,0.01033
0.023,1.13127,0.26332,0.2301,24.48128,0.01076
0.024,1.13045,0.26755,0.23384,23.94354,0.01117
0.025,1.12964,0.27161,0.23744,23.43765,0.01159
0.026,1.12882,0.27552,0.2409,22.96123,0.012
0.027,1.12801,0.27928,0.24424,22.51147,0.01241
0.028,1.12721,0.2829,0.24746,22.08523,0.01281
0.029,1.12641,0.2864,0.25056,21.68153,0.01321
0.03,1.12561,0.28977,0.25356,21.29776,0.01361
0.031,1.12482,0.29303,0.25646,20.93229,0.014
0.032,1.12403,0.29617,0.25926,20.58442,0.01439
0.033,1.12325,0.2992,0.26196,20.25185,0.01477
0.034,1.12246,0.30214,0.26458,19.9343,0.01516
0.035,1.12169,0.30498,0.26711,19.63009,0.01554
0.036,1.12091,0.30772,0.26956,19.3385,0.01591
0.037,1.12014,0.31037,0.27193,19.05873,0.01629
0.038,1.11938,0.31294,0.27423,18.78989,0.01665
0.039,1.11861,0.31543,0.27646,18.53105,0.01702
0.04,1.11785,0.31784,0.27861,18.28253,0.01738
0.041,1.1171,0.32017,0.2807,18.04251,0.01775
0.042,1.11635,0.32243,0.28273,17.81148,0.0181
0.043,1.1156,0.32462,0.28469,17.58798,0.01846
0.044,1.11486,0.32674,0.2866,17.37227,0.01881
0.045,1.11411,0.3288,0.28845,17.16394,0.01916
0.046,1.11338,0.33079,0.29024,16.96224,0.0195
0.047,1.11264,0.33273,0.29198,16.7669,0.01984
0.048,1.11191,0.3346,0.29367,16.57761,0.02018
0.049,1.11118,0.33642,0.2953,16.39403,0.02052
0.05,1.11046,0.33818,0.29689,16.21582,0.02086
0.051,1.10974,0.33989,0.29844,16.04279,0.02119
0.052,1.10902,0.34155,0.29993,15.87526,0.02151
0.053,1.10831,0.34316,0.30139,15.71217,0.02184
0.054,1.1076,0.34472,0.3028,15.55311,0.02216
0.055,1.10689,0.34624,0.30417,15.39914,0.02248
0.056,1.10619,0.34771,0.3055,15.2488,0.0228
0.057,1.10548,0.34913,0.30679,15.10253,0.02312
0.058,1.10479,0.35052,0.30805,14.95996,0.02343
0.059,1.10409,0.35186,0.30926,14.82112,0.02374
0.06,1.1034,0.35317,0.31045,14.68534,0.02405
0.061,1.10271,0.35443,0.3116,14.55355,0.02435
0.062,1.10203,0.35566,0.31271,14.42435,0.02466
0.063,1.10134,0.35685,0.31379,14.29831,0.02496
0.064,1.10066,0.358,0.31484,14.17563,0.02525
0.065,1.09999,0.35912,0.31586,14.05543,0.02555
0.066,1.09931,0.36021,0.31685,13.93771,0.02584
0.067,1.09864,0.36127,0.31782,13.82277,0.02614
0.068,1.09797,0.36229,0.31875,13.71074,0.02642
0.069,1.09731,0.36328,0.31965,13.60099,0.02671
0.07,1.09665,0.36424,0.32053,13.49349,0.02699
