phi0,omega,M,Q,R_eff,C_eff
0,0.577350269,0,0,,0
0.00075,0.57732,0.07832,0.1357,217.17526,0.00036
0.0015,0.57719,0.11601,0.20129,207.08567,0.00056
0.00225,0.57704,0.14661,0.25421,190.66727,0.00077
0.003,0.57688,0.16855,0.29209,170.89445,0.00099
0.00375,0.5767,0.18757,0.32512,153.87748,0.00122
0.0045,0.57652,0.20441,0.3544,140.70244,0.00145
0.00525,0.57634,0.21974,0.38094,130.36396,0.00169
0.006,0.57615,0.23373,0.40524,121.89015,0.00192
0.00675,0.57596,0.24666,0.42771,114.85395,0.00215
0.0075,0.57578,0.25869,0.44863,108.89414,0.00238
0.00825,0.57559,0.26996,0.46823,103.76256,0.0026
0.009,0.5754,0.28055,0.48666,99.28374,0.00283
0.00975,0.57521,0.29055,0.50406,95.32996,0.00305
0.0105,0.57502,0.30002,0.52055,91.80588,0.00327
0.01125,0.57483,0.30901,0.53621,88.63865,0.00349
0.012,0.57464,0.31757,0.55112,85.7718,0.0037
0.01275,0.57445,0.32573,0.56535,83.16049,0.00392
0.0135,0.57426,0.33353,0.57894,80.76872,0.00413
0.01425,0.57407,0.34099,0.59196,78.56733,0.00434
0.015,0.57388,0.34814,0.60443,76.53222,0.00455
0.01575,0.5737,0.355,0.6164,74.64342,0.00476
0.0165,0.57351,0.36158,0.62791,72.88406,0.00496
0.01725,0.57332,0.36792,0.63897,71.24011,0.00516
0.018,0.57313,0.37402,0.64963,69.69927,0.00537
0.01875,0.57295,0.37989,0.6599,68.2512,0.00557
0.0195,0.57276,0.38555,0.6698,66.88691,0.00576
0.02025,0.57258,0.39101,0.67935,65.59858,0.00596
0.021,0.57239,0.39629,0.68858,64.37953,0.00616
0.02175,0.57221,0.40138,0.69749,63.22348,0.00635
0.0225,0.57203,0.4063,0.70611,62.12535,0.00654
0.02325,0.57184,0.41106,0.71445,61.08047,0.00673
0.024,0.57166,0.41566,0.72251,60.08448,0.00692
0.02475,0.57148,0.42012,0.73032,59.13383,0.0071
0.0255,0.5713,0.42443,0.73789,58.22502,0.00729
0.02625,0.57112,0.42861,0.74522,57.35523,0.00747
0.027,0.57094,0.43266,0.75232,56.52157,0.00765
0.02775,0.57076,0.43658,0.7592,55.72168,0.00784
0.0285,0.57058,0.44038,0.76588,54.9533,0.00801
0.02925,0.57041,0.44407,0.77236,54.21448,0.00819
0.03,0.57023,0.44765,0.77864,53.50317,0.00837
0.03075,0.57005,0.45112,0.78474,52.81789,0.00854
0.0315,0.56988,0.45449,0.79066,52.1571,0.00871
0.03225,0.5697,0.45775,0.79641,51.51929,0.00889
0.033,0.56953,0.46093,0.80199,50.90311,0.00905
0.03375,0.56936,0.46401,0.80741,50.3074,0.00922
0.0345,0.56918,0.467,0.81268,49.73108,0.00939
0.03525,0.56901,0.4699,0.8178,49.17297,0.00956
0.036,0.56884,0.47273,0.82277,48.63243,0.00972
0.03675,0.56867,0.47547,0.8276,48.10826,0.00988
0.0375,0.5685,0.47813,0.83229,47.59977,0.01004
0.03825,0.56833,0.48072,0.83685,47.1062,0.0102
0.039,0.56816,0.48323,0.84129,46.62672,0.01036
0.03975,0.568,0.48568,0.8456,46.16086,0.01052
0.0405,0.56783,0.48805,0.84979,45.70773,0.01068
0.04125,0.56766,0.49036,0.85386,45.26709,0.01083
0.042,0.5675,0.4926,0.85782,44.83814,0.01099
0.04275,0.56733,0.49478,0.86167,44.42038,0.01114
0.0435,0.56717,0.4969,0.86541,44.01332,0.01129
0.04425,0.567,0.49896,0.86905,43.61672,0.01144
0.045,0.56684,0.50096,0.87259,43.22991,0.01159
0.04575,0.56668,0.5029,0.87603,42.85253,0.01174
0.0465,0.56652,0.50479,0.87937,42.4842,0.01188
0.04725,0.56635,0.50663,0.88262,42.12473,0.01203
0.048,0.56619,0.50841,0.88578,41.77357,0.01217
0.04875,0.56603,0.51015,0.88885,41.43046,0.01231
0.0495,0.56587,0.51183,0.89183,41.0951,0.01245
0.05025,0.56572,0.51347,0.89473,40.76721,0.0126
0.051,0.56556,0.51506,0.89755,40.44645,0.01273
0.05175,0.5654,0.5166,0.90029,40.13266,0.01287
0.0525,0.56524,0.5181,0.90295,39.82568,0.01301
0.05325,0.56509,0.51956,0.90554,39.52493,0.01315
0.054,0.56493,0.52098,0.90805,39.23065,0.01328
0.05475,0.56478,0.52235,0.91049,38.94213,0.01341
0.0555,0.56462,0.52369,0.91285,38.65966,0.01355
0.05625,0.56447,0.52498,0.91515,38.38273,0.01368
0.057,0.56431,0.52624,0.91739,38.11116,0.01381
0.05775,0.56416,0.52746,0.91955,37.84483,0.01394
0.0585,0.56401,0.52864,0.92166,37.5836,0.01407
0.05925,0.56386,0.52979,0.9237,37.32737,0.01419
0.06,0.56371,0.5309,0.92568,37.07588,0.01432
0.06075,0.56356,0.53198,0.9276,36.8291,0.01444
0.0615,0.56341,0.53303,0.92946,36.58681,0.01457
0.06225,0.56326,0.53404,0.93126,36.34885,0.01469
0.063,0.56311,0.53502,0.93301,36.11507,0.01481
0.06375,0.56296,0.53597,0.9347,35.88527,0.01494
0.0645,0.56281,0.5369,0.93634,35.65967,0.01506
0.06525,0.56266,0.53779,0.93793,35.43787,0.01518
0.066,0.56252,0.53865,0.93947,35.21968,0.01529
0.06675,0.56237,0.53948,0.94095,35.00539,0.01541
0.0675,0.56223,0.54029,0.94239,34.79438,0.01553
0.06825,0.56208,0.54107,0.94378,34.58711,0.01564
0.069,0.56194,0.54182,0.94513,34.38299,0.01576
0.06975,0.56179,0.54255,0.94642,34.1822,0.01587
0.0705,0.56165,0.54325,0.94768,33.98468,0.01599
0.07125,0.56151,0.54393,0.94889,33.7901,0.0161
0.072,0.56136,0.54458,0.95005,33.59857,0.01621
0.07275,0.56122,0.54521,0.95118,33.41013,0.01632
0.0735,0.56108,0.54582,0.95226,33.22449,0.01643
0.07425,0.56094,0.5464,0.9533,33.04159,0.01654
0.075,0.5608,0.54696,0.9543,32.8614,0.01664
0.07575,0.56066,0.5475,0.95527,32.68386,0.01675
