phi0,omega,M,Q,R_eff,C_eff
0,0.866025404,0,0,,0
0.0003,0.865988434,0.037761484,0.045159393,245.235817,0.00015398
0.0006,0.865898843,0.054572059,0.06327838,224.6658085,0.000242903
0.0009,0.865776748,0.067385897,0.077840445,194.0081376,0.000347335
0.0012,0.865659118,0.078866511,0.09096236,173.8827196,0.000453562
0.0015,0.865532287,0.08671338,0.100879071,153.0826803,0.000566448
0.0018,0.865392024,0.095196219,0.110188358,137.4494279,0.000692591
0.0021,0.865254509,0.102850132,0.118818086,128.3444061,0.000801361
0.0024,0.865120801,0.109872933,0.126907268,120.1831034,0.000914213
0.0027,0.864983118,0.116452268,0.13457076,113.110276,0.001029546
0.003,0.864845076,0.122664548,0.141728097,107.3019565,0.001143172
0.0033,0.864705416,0.12857986,0.148571872,102.2881894,0.001257035
0.0036,0.86456489,0.134222623,0.155101427,97.91551796,0.0013708
0.0039,0.8644236,0.139625532,0.16135464,94.05623435,0.00148449
0.0042,0.864281644,0.144815578,0.167362603,90.61752247,0.001598097
0.0045,0.864139098,0.149814908,0.173150864,87.52813899,0.00171162
0.0048,0.863996028,0.154642038,0.178740786,84.73267153,0.001825058
0.0051,0.863852486,0.159312643,0.184150448,82.18704811,0.001938415
0.0054,0.863708521,0.163840129,0.189395313,79.85622521,0.002051689
0.0057,0.863564171,0.168236068,0.19448873,77.71158217,0.002164878
0.006,0.863419473,0.172510536,0.199442317,75.72948533,0.002277984
0.0063,0.863274457,0.176672367,0.204266262,73.89034187,0.002391008
0.0066,0.863129149,0.180729359,0.208969559,72.17771308,0.00250395
0.0069,0.862983574,0.184688439,0.213560192,70.57780354,0.002616806
0.0072,0.862837754,0.188555791,0.218045293,69.07864951,0.002729581
0.0075,0.862691707,0.192336964,0.222431257,67.67009447,0.002842274
0.0078,0.862545451,0.19603696,0.226723852,66.34335603,0.002954885
0.0081,0.862399003,0.199660308,0.230928297,65.09082203,0.003067411
0.0084,0.862252375,0.203211123,0.235049337,63.9058178,0.003179853
0.0087,0.862105582,0.206693157,0.239091295,62.78235633,0.003292217
0.009,0.861958634,0.210109846,0.243058131,61.71544363,0.003404494
0.0093,0.861811544,0.213464341,0.246953475,60.70031602,0.003516692
0.0096,0.861664321,0.216759543,0.250780672,59.73306172,0.003628804
