phi0,omega,M,Q,R_eff,C_eff
0,1.08012345,0,0,,0
0.0003,1.079869626,0.004415628,0.00431738,99.74830448,4.43E-05
0.0009,1.079633138,0.060258346,0.055803852,142.0106564,0.000424323
0.0015,1.079211824,0.078006753,0.072241766,110.1036086,0.000708485
0.0018,1.078994054,0.085576992,0.079265423,100.4934754,0.000851568
0.0021,1.078773596,0.092577017,0.085755868,93.02917843,0.00099514
0.0024,1.078550666,0.09912215,0.091825878,87.01211567,0.001139176
0.0027,1.078325614,0.105297336,0.09755417,82.02727522,0.001283687
0.003,1.078098698,0.111164306,0.102997819,77.80982443,0.001428667
0.0033,1.077870111,0.116769591,0.108199878,74.18094929,0.001574118
0.0036,1.077640002,0.12214928,0.113193738,71.01528568,0.001720042
0.0039,1.077408492,0.127332022,0.118005905,68.22198333,0.001866437
0.0042,1.077175675,0.132341012,0.122657837,65.73331941,0.002013302
0.0045,1.076941632,0.137195328,0.127167184,63.4975836,0.002160639
0.0048,1.076706429,0.141910891,0.131548674,61.47449623,0.002308452
0.0051,1.07647012,0.146501143,0.13581474,59.63250282,0.002456733
0.0054,1.076232754,0.150977555,0.139975995,57.9460212,0.002605486
0.0057,1.075994371,0.155350007,0.144041577,56.39424886,0.002754714
0.006,1.075755008,0.159627079,0.148019422,54.96005691,0.00290442
0.0063,1.075514695,0.163816277,0.151916474,53.62957099,0.003054589
0.0066,1.07527346,0.16792421,0.155738844,52.39057831,0.003205237
0.0069,1.075031326,0.171956735,0.159491951,51.23304597,0.003356364
0.0072,1.074788316,0.175919065,0.163180616,50.14867521,0.00350795
0.0075,1.074544449,0.179815871,0.166809159,49.12975549,0.00366002
0.0078,1.074299742,0.183651349,0.170381461,48.17008422,0.00381256
0.0081,1.074054212,0.18742929,0.173901029,47.26402517,0.00396558
0.0084,1.073807871,0.191153129,0.177371039,46.40690439,0.004119067
0.0087,1.073560734,0.19482599,0.180794382,45.59426561,0.004273037
0.009,1.073312812,0.198450726,0.184173695,44.82250766,0.004427479
0.0093,1.073064116,0.202029946,0.187511392,44.08847725,0.004582375
0.0096,1.072814657,0.205566046,0.190809691,43.38886785,0.00473776
0.0099,1.072564442,0.209061232,0.19407063,42.72114244,0.004893625
0.0102,1.072313481,0.212517539,0.197296092,42.08307829,0.005049952
0.0105,1.072061783,0.215936849,0.200487819,41.47240408,0.00520676
0.0108,1.071809353,0.219320906,0.203647423,40.88726107,0.00536404
0.0111,1.071556199,0.222671331,0.206776405,40.32581938,0.005521806
0.0114,1.071302328,0.225989631,0.209876158,39.78663155,0.005680039
0.0117,1.071047745,0.229277213,0.212947984,39.26824434,0.005838744
0.012,1.070792457,0.232535389,0.215993097,38.76941546,0.005997908
0.0123,1.070536467,0.235765388,0.219012634,38.28884533,0.006157548
0.0126,1.070279782,0.238968359,0.222007659,37.82538653,0.006317671
0.0129,1.070022407,0.242145383,0.224979171,37.37804963,0.006478278
0.0132,1.069316191,0.245297474,0.227928109,36.94628882,0.006639299
0.0135,1.069505601,0.248425587,0.230855356,36.52849838,0.006800871
0.0138,1.069246179,0.25153062,0.233761745,36.12448987,0.006962884
0.0141,1.068986082,0.254613421,0.23664806,35.73331017,0.00712538
